Movie_Title,Storyline_Raw,Storyline_Processed
The Hotel of My Dream,An aspiring author is forced to rely on her street smarts and martial arts skills to escape a deadly dinner party after discovering the host has vengeful motives.,aspiring author forced rely street smarts martial arts skills escape deadly dinner party discovering host vengeful motives
Tom Dustin: Portrait of a Comedian,"Siddharth investigates his brother Pradip's tragic fate in the city. From a Dalit family, kind-hearted Pradip faced upper-caste cruelty. Through flashbacks, Siddharth uncovers the truth while seeking revenge.",siddharth investigates brother pradip tragic fate city dalit family kind hearted pradip faced upper caste cruelty flashbacks siddharth uncovers truth seeking revenge
TerraForma,Songwriter/artist Allee Willis began filming her life as a kid in 1950s Detroit and never stopped. She pursued creative expression at all costs while struggling to fit established gender and sexual norms - until she found a path to love.,songwriter artist allee willis began filming life kid detroit never stopped pursued creative expression costs struggling fit established gender sexual norms found path love
They Are Watching,Tobias the Hybrid Tram Engine's sense of identity is thrown into question when a mysterious enemy returns to the railway with a hidden agenda and throws everyone's lives into chaos.,tobias hybrid tram engine sense identity thrown question mysterious enemy returns railway hidden agenda throws everyone lives chaos
"Pwede G, pwede B","Influencer Allyson, bride-to-be Roni, and newly single Patricia are from different worlds, unaware that trusting the wrong man will force them into a terrifying situation where their lives may depend on each other.",influencer allyson bride roni newly single patricia different worlds unaware trusting wrong man force terrifying situation lives may depend
BhamaKalapam 2,A group of ambitious YouTubers arrive at an isolated English farm to uncover the story of the infamous Legend of the Pigman. Can they debunk the myth - or will they unleash the beast once more?,group ambitious youtubers arrive isolated english farm uncover story infamous legend pigman debunk myth unleash beast
World Between Us,"Discovering a territory in the Sierra Nevada mountains that has been shut down since the 1950s because of mysterious disappearances, Loretta leaves to explore, her husband Randy goes in after her.",discovering territory sierra nevada mountains shut since mysterious disappearances loretta leaves explore husband randy goes
Pyaar Ishq aur Possession,"Cryptozoologist Yuma Sato enters a newly discovered Himalayan ice cave to search for the mythical ""Snow Ghost."" Broadcasting live, his camera reveals shocking finds. Is it an internet hoax or a major scientific breakthrough?",cryptozoologist yuma sato enters newly discovered himalayan ice cave search mythical snow ghost broadcasting live camera reveals shocking finds internet hoax major scientific breakthrough
Políticamente incorrectos,"A filmmaker makes a movie in a way that's never been done before, leading to unimaginable results.",filmmaker makes movie way never done leading unimaginable results
Chhakka Panja 5,"A paramedic, Komal gets assigned to a mission of delivering live human heart for transplant in an ambulance where she encounters mysterious people in her journey, with Manjil and Tony, leading to gruesome mishaps and dreadful events.",paramedic komal gets assigned mission delivering live human heart transplant ambulance encounters mysterious people journey manjil tony leading gruesome mishaps dreadful events
Scene Number 62,"A group of young adults defy a curfew imposed due to a serial killer, documenting their nighttime adventures as they navigate the transition from adolescence to adulthood in the Nevada summer heat.",group young adults defy curfew imposed due serial killer documenting nighttime adventures navigate transition adolescence adulthood nevada summer heat
Dying for Fame,"A diplomat, a teacher, and a musician declare war on poverty, ignorance, and crime, using an unorthodox weapon: classical music education.",diplomat teacher musician declare war poverty ignorance crime using unorthodox weapon classical music education
Rang De Basanti,"Isla Quinn infiltrates a QAnon video call to expose their violent Election Day plot. When the real ""Q"" appears, she must outsmart him to thwart his scheme and protect democracy.",isla quinn infiltrates qanon video call expose violent election day plot real q appears must outsmart thwart scheme protect democracy
Suami Yang Lain,"After the murder of her childhood friend, Dilara returns to her hometown. Following a reunion with her friends, she starts to believe that the group is targeted through a haunted true crime podcast - once you listen you'll meet the killer.",murder childhood friend dilara returns hometown following reunion friends starts believe group targeted haunted true crime podcast listen meet killer
XYZ,"The story of three best friends, Silvia and Cela, and Rozana that are trying new things after they find out that Sivlia's husband was cheating on her.",story three best friends silvia cela rozana trying new things find sivlia husband cheating
Through the Door,"A hunter searches for his daughter, who has been taken by a strange animal in the woods. On his search he encounters four shady hunters who agree to help him.",hunter searches daughter taken strange animal woods search encounters four shady hunters agree help
Stesti a dobro vsem,"Nikita, going through his first adult life crisis, accidentally finds a time portal. In an alternative world, he meets ""parallel"" relatives: his girlfriend, his deceased mother, and even himself. But before the door between the worlds closes irreversibly, in the most terrible and tragic circumstances, he must find a way out and correct the fatal mistakes he made in relation to his loved ones.",nikita going first adult life crisis accidentally finds time portal alternative world meets parallel relatives girlfriend deceased mother even door worlds closes irreversibly terrible tragic circumstances must find way correct fatal mistakes made relation loved ones
